fdc_id,description,Retinol (UG),Lycopene (UG),cis_Lycopene (UG),trans_Lycopene (UG),Carotene_beta (UG),cis_beta_Carotene (UG),trans_beta_Carotene (UG),Vitamin_E_alpha_tocopherol (MG),Tocopherols_and_tocotrienols (MG),Cryptoxanthin_beta (UG),Choline_total (MG),Carotene_alpha (UG),Vitamin_K_phylloquinone (UG),Zeaxanthin (UG),Lutein (UG),Lutein_plus_zeaxanthin (UG),cis_Lutein/Zeaxanthin (UG),Vitamin_D_D2_plus_D3 (UG),Vitamin_A_RAE (UG)
2706858,"Tuna casserole with vegetables and mushroom sauce, no noodles",36.0,0.0,0.0,0.0,15.0,15.0,15.0,0.31,0.31,1.0,20.1,1.0,7.3,17.0,17.0,17.0,17.0,0.6,37.0
2706859,"Shellfish mixture and vegetables including carrots, broccoli, and/or dark-green leafy; no potatoes, soy-based sauce",41.0,0.0,0.0,0.0,1328.0,1328.0,1328.0,1.86,1.86,0.0,48.6,584.0,34.3,270.0,270.0,270.0,270.0,0.0,176.0
2706860,"Shellfish mixture and vegetables excluding carrots, broccoli, and dark-green leafy; no potatoes, soy-based sauce",42.0,0.0,0.0,0.0,96.0,96.0,96.0,1.85,1.85,1.0,49.5,10.0,21.6,167.0,167.0,167.0,167.0,0.0,51.0
2706861,"Shellfish mixture and vegetables including carrots, broccoli, and/or dark-green leafy; no potatoes, mushroom sauce",33.0,0.0,0.0,0.0,1188.0,1188.0,1188.0,1.63,1.63,0.0,34.3,504.0,25.8,241.0,241.0,241.0,241.0,0.2,154.0
2706862,"Shellfish mixture and vegetables excluding carrots, broccoli, and dark-green leafy; no potatoes, mushroom sauce",33.0,0.0,0.0,0.0,38.0,38.0,38.0,1.33,1.33,16.0,35.7,10.0,17.3,162.0,162.0,162.0,162.0,0.2,37.0
2706863,"Fish and vegetables including carrots, broccoli, and/or dark-green leafy; no potatoes, tomato-based sauce",3.0,6304.0,6304.0,6304.0,1448.0,1448.0,1448.0,2.48,2.48,2.0,27.2,565.0,23.5,279.0,279.0,279.0,279.0,0.3,149.0
2706864,"Fish and vegetables excluding carrots, broccoli, and dark- green leafy; no potatoes, tomato-based sauce",3.0,6303.0,6303.0,6303.0,159.0,159.0,159.0,2.14,2.14,20.0,28.9,11.0,13.9,191.0,191.0,191.0,191.0,0.3,18.0
2706865,"Fish and vegetables including carrots, broccoli, and/or dark-green leafy; no potatoes, soy-based sauce",1.0,0.0,0.0,0.0,1328.0,1328.0,1328.0,1.52,1.52,0.0,34.5,584.0,34.2,270.0,270.0,270.0,270.0,0.2,136.0
2706866,"Fish and vegetables excluding  carrots, broccoli, and dark-green leafy; no potatoes, soy-based sauce",1.0,0.0,0.0,0.0,96.0,96.0,96.0,1.5,1.5,1.0,34.9,10.0,21.5,167.0,167.0,167.0,167.0,0.2,9.0
2706867,"Fish shish kabob with vegetables, excluding potatoes",1.0,0.0,0.0,0.0,110.0,110.0,110.0,0.56,0.56,27.0,41.0,2.0,4.8,33.0,33.0,33.0,33.0,0.3,11.0
2706868,"Fried fish with sauce, Puerto Rican style",6.0,2092.0,2092.0,2092.0,100.0,100.0,100.0,2.81,2.81,1.0,46.0,9.0,3.3,28.0,28.0,28.0,28.0,0.4,15.0
2706869,"Lobster with sauce, Puerto Rican style",1.0,4486.0,4486.0,4486.0,135.0,135.0,135.0,3.15,3.15,1.0,47.8,11.0,4.9,37.0,37.0,37.0,37.0,0.0,12.0
2706870,"Octopus salad, Puerto Rican style",25.0,845.0,845.0,845.0,149.0,149.0,149.0,3.26,3.26,0.0,43.4,33.0,6.1,43.0,43.0,43.0,43.0,0.0,38.0
2706871,"Codfish salad, Puerto Rican style, Serenata",4.0,795.0,795.0,795.0,144.0,144.0,144.0,3.67,3.67,0.0,26.3,31.0,6.5,51.0,51.0,51.0,51.0,0.3,17.0
2706872,"Chow mein or chop suey, NS as to type of meat, no noodles",3.0,0.0,0.0,0.0,99.0,99.0,99.0,0.47,0.47,0.0,32.6,19.0,12.6,119.0,119.0,119.0,119.0,0.0,11.0
2706873,Lau lau,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37,0.37,0.0,47.9,0.0,0.0,0.0,0.0,0.0,0.0,1.7,5.0
2706874,"Antipasto with ham, fish, cheese, vegetables",54.0,0.0,0.0,0.0,2293.0,2293.0,2293.0,1.03,1.03,5.0,28.9,1032.0,9.7,217.0,217.0,217.0,217.0,0.4,288.0
2706875,"Livers, chicken, chopped, with eggs and onion",1740.0,9.0,9.0,9.0,15.0,15.0,15.0,0.88,0.88,6.0,190.9,5.0,0.1,95.0,95.0,95.0,95.0,1.0,1741.0
2706876,"Liver, beef or calves, and onions",4716.0,0.0,0.0,0.0,116.0,116.0,116.0,0.36,0.36,13.0,257.5,7.0,3.3,2.0,2.0,2.0,2.0,0.8,4727.0
2706877,"Stewed chitterlings, Puerto Rican style",0.0,1574.0,1574.0,1574.0,159.0,159.0,159.0,1.85,1.85,7.0,296.8,23.0,5.5,126.0,126.0,126.0,126.0,0.0,15.0
2706878,"Stewed gizzards, Puerto Rican style",65.0,923.0,923.0,923.0,167.0,167.0,167.0,1.12,1.12,0.0,72.5,0.0,17.3,58.0,58.0,58.0,58.0,0.3,79.0
2706879,"Gumbo, no rice",4.0,695.0,695.0,695.0,80.0,80.0,80.0,0.63,0.63,0.0,25.1,0.0,5.6,51.0,51.0,51.0,51.0,0.1,11.0
2706880,"Sandwich, NFS",20.0,0.0,0.0,0.0,6.0,6.0,6.0,1.52,1.52,1.0,31.5,0.0,0.4,25.0,25.0,25.0,25.0,0.4,21.0
2706881,"Sandwich wrap, NFS",40.0,0.0,0.0,0.0,12.0,12.0,12.0,0.16,0.16,1.0,19.2,0.0,3.6,7.0,7.0,7.0,7.0,0.6,41.0
2706882,"Barbecue sandwich, NFS",2.0,910.0,910.0,910.0,27.0,27.0,27.0,0.35,0.35,0.0,51.0,0.0,2.1,20.0,20.0,20.0,20.0,0.4,4.0
